"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0044249","cellular biosynthetic process","BP",4151,959,829,1.0473148333974e-22,4.18183721875716e-13
"GO:0051641","cellular localization","BP",2137,551,502,1.0758974721312e-22,2.28545108389924e-20
"GO:0008104","protein localization","BP",1858,489,457,5.00556661988695e-22,1.29050184296152e-22
"GO:0009058","biosynthetic process","BP",4246,975,846,3.16389924109258e-22,3.71598383674178e-13
"GO:1901576","organic substance biosynthetic process","BP",4188,962,839,6.32129867780336e-22,1.29494835315514e-13
"GO:0048583","regulation of response to stimulus","BP",2900,705,625,7.41057783732893e-22,2.67066917079259e-16
"GO:0044267","cellular protein metabolic process","BP",3613,846,771,1.97946055273788e-21,2.75899813638826e-19
"GO:0060255","regulation of macromolecule metabolic process","BP",4641,1047,932,2.28609964731856e-21,1.18395653742854e-15
"GO:0023051","regulation of signaling","BP",2486,616,544,5.8101584030792e-21,2.07184050768974e-15
"GO:0048731","system development","BP",3150,751,678,6.03769792702627e-21,1.20892484777691e-17
"GO:0009893","positive regulation of metabolic process","BP",2795,677,615,1.68848141388222e-20,4.6108940087275e-18
"GO:0051171","regulation of nitrogen compound metabolic process","BP",4138,944,832,1.86935174288878e-20,7.07427854459807e-14
"GO:0080090","regulation of primary metabolic process","BP",4237,963,851,2.12226176828592e-20,4.08264896651902e-14
"GO:0010646","regulation of cell communication","BP",2475,611,543,2.21141580466094e-20,1.31888133898941e-15
"GO:0006950","response to stress","BP",2796,674,600,7.40491239781537e-20,3.21029783908395e-15
"GO:0048523","negative regulation of cellular process","BP",3603,815,770,2.59130639324105e-16,1.9544017364411e-19
"GO:0006725","cellular aromatic compound metabolic process","BP",4364,981,873,2.94662862508043e-19,4.47106079328889e-14
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2571,624,562,5.20185021757726e-19,7.71962996461487e-16
"GO:0048519","negative regulation of biological process","BP",4039,894,846,2.14818674453624e-15,5.32174044304536e-19
"GO:0009966","regulation of signal transduction","BP",2208,549,489,6.33010446347631e-19,8.89712924890645e-15
"GO:1901360","organic cyclic compound metabolic process","BP",4535,1012,906,6.4892944199727e-19,1.56745554154864e-14
"GO:0007166","cell surface receptor signaling pathway","BP",1979,501,434,7.40233262350859e-19,1.85268193278416e-12
"GO:0048584","positive regulation of response to stimulus","BP",1570,413,346,1.52387975962184e-18,2.47946355575673e-10
"GO:0030154","cell differentiation","BP",3048,712,663,1.86798110771551e-17,2.47858268816212e-18
"GO:0048869","cellular developmental process","BP",3067,718,666,7.44001646144603e-18,3.06538766181361e-18
"GO:0035556","intracellular signal transduction","BP",1993,500,460,5.32817243150114e-18,3.82298131006176e-17
"GO:0046483","heterocycle metabolic process","BP",4320,964,865,7.35630297017372e-18,4.93715170846331e-14
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",3460,796,703,7.47608794597763e-18,1.65397409647229e-12
"GO:0034613","cellular protein localization","BP",1297,351,320,8.14294438143809e-18,4.4792585656562e-16
"GO:0023056","positive regulation of signaling","BP",1239,338,283,9.75242511845372e-18,2.8641177169574e-10
"GO:0031325","positive regulation of cellular metabolic process","BP",2431,589,535,9.96098940878939e-18,1.22763803555527e-15
"GO:0007399","nervous system development","BP",1804,459,396,1.08942130521066e-17,1.7927704038492e-11
"GO:0070727","cellular macromolecule localization","BP",1304,352,322,1.10936868818961e-17,3.1588300347987e-16
"GO:0043412","macromolecule modification","BP",2917,679,634,3.13047495901727e-16,2.15501635715e-17
"GO:0010647","positive regulation of cell communication","BP",1236,336,284,2.16850254493008e-17,1.36822523394332e-10
"GO:0006464","cellular protein modification process","BP",2751,642,603,1.48924568696126e-15,2.59347260525064e-17
"GO:0036211","protein modification process","BP",2751,642,603,1.48924568696126e-15,2.59347260525064e-17
"GO:0006139","nucleobase-containing compound metabolic process","BP",4199,937,846,2.78401675113004e-17,2.29216380929307e-14
"GO:0009059","macromolecule biosynthetic process","BP",3449,790,698,3.42724412153408e-17,4.66818125423206e-12
"GO:0051173","positive regulation of nitrogen compound metabolic process","BP",2294,558,509,3.90277380086364e-17,1.52802364483781e-15
"GO:0010467","gene expression","BP",4651,1021,903,8.36038095051949e-17,2.4469918817988e-11
"GO:0065008","regulation of biological quality","BP",2764,643,602,2.83958665395443e-15,1.15014845794289e-16
"GO:0065009","regulation of molecular function","BP",2284,552,499,2.33923912498165e-16,5.38388478723072e-14
"GO:0033554","cellular response to stress","BP",1440,375,320,3.88595043037496e-16,4.83575892665513e-10
"GO:0007049","cell cycle","BP",1342,340,329,5.7531966098431e-13,4.31826632514443e-16
"GO:0051649","establishment of localization in cell","BP",1577,401,364,1.92860228525545e-15,1.25636217783099e-13
"GO:0016192","vesicle-mediated transport","BP",1151,298,288,1.18849999681828e-12,2.31503369667809e-15
"GO:0006796","phosphate-containing compound metabolic process","BP",2023,490,457,1.08551410880582e-14,2.56114897815055e-15
"GO:0006793","phosphorus metabolic process","BP",2040,494,460,8.63053205181754e-15,2.82289194110519e-15
"GO:0009653","anatomical structure morphogenesis","BP",1966,481,424,3.19043864402806e-15,4.2308065466248e-11
"GO:0009967","positive regulation of signal transduction","BP",1111,300,252,3.43365751302005e-15,5.71512573572116e-09
"GO:0051130","positive regulation of cellular component organization","BP",802,219,215,7.16454302077764e-12,6.22312324191344e-15
"GO:0009889","regulation of biosynthetic process","BP",3011,689,596,9.53160325955934e-15,1.11102484411699e-08
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",2926,672,595,1.01522520235763e-14,1.31785722479039e-10
"GO:0010033","response to organic substance","BP",2198,525,466,1.48442927893353e-14,5.47648152346162e-11
"GO:0010468","regulation of gene expression","BP",3665,816,728,1.49127680221673e-14,6.5361215576732e-11
"GO:0031326","regulation of cellular biosynthetic process","BP",2972,680,591,1.55465337572134e-14,6.32461846491066e-09
"GO:0010556","regulation of macromolecule biosynthetic process","BP",2862,657,573,2.46329015427168e-14,4.02603417970108e-09
"GO:0032879","regulation of localization","BP",2020,487,446,3.10791381550719e-14,2.85562932332421e-13
"GO:0022008","neurogenesis","BP",1227,321,280,3.43449984515585e-14,3.96928238055011e-10
"GO:0071702","organic substance transport","BP",1789,439,394,3.89457296720507e-14,1.27569042756544e-11
"GO:0090304","nucleic acid metabolic process","BP",3878,854,775,4.64927874886855e-14,3.07535428966252e-12
"GO:0022402","cell cycle process","BP",915,240,235,5.53178291891085e-11,5.45589036204898e-14
"GO:0071705","nitrogen compound transport","BP",1500,378,346,5.63729125956281e-14,6.04110462553301e-13
"GO:0007010","cytoskeleton organization","BP",1113,295,268,7.4264843438236e-14,2.54797881622643e-12
"GO:0009056","catabolic process","BP",1927,465,413,1.13597249445393e-13,1.90137003320739e-10
"GO:0048468","cell development","BP",1555,388,353,1.17668110899964e-13,3.18431872039406e-12
"GO:0050790","regulation of catalytic activity","BP",1758,430,382,1.26835594508594e-13,1.70006831008787e-10
"GO:0042221","response to chemical","BP",3075,694,616,1.61901191343846e-13,7.82600553079747e-10
"GO:0051246","regulation of protein metabolic process","BP",1925,463,420,2.26598354647912e-13,9.7383622360004e-12
"GO:0019438","aromatic compound biosynthetic process","BP",2921,661,595,4.2928210909256e-13,9.76837438862669e-11
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","BP",1447,362,323,5.96762319360942e-13,2.33152662287976e-10
"GO:0051252","regulation of RNA metabolic process","BP",2703,617,554,6.0203207891165e-13,1.90718216483303e-10
"GO:0044248","cellular catabolic process","BP",1682,410,363,8.79405483462074e-13,1.20957210599943e-09
"GO:1901362","organic cyclic compound biosynthetic process","BP",3023,679,618,8.96340595244601e-13,1.9239856253245e-11
"GO:0048513","animal organ development","BP",2463,568,518,9.74142897487355e-13,1.37639581684472e-11
"GO:0045184","establishment of protein localization","BP",1264,322,295,1.21640127298713e-12,9.0776638075671e-12
"GO:0018130","heterocycle biosynthetic process","BP",2911,656,595,1.27542653172037e-12,5.32817238285197e-11
"GO:0031328","positive regulation of cellular biosynthetic process","BP",1431,357,318,1.30761806577103e-12,5.51235000300259e-10
"GO:0044087","regulation of cellular component biogenesis","BP",733,175,192,1.49926764084862e-05,1.86725877625009e-12
"GO:0070887","cellular response to chemical stimulus","BP",2207,515,473,1.90369146099785e-12,6.85447055903114e-12
"GO:0009891","positive regulation of biosynthetic process","BP",1454,361,322,1.9093553151365e-12,6.35304889185686e-10
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",2856,642,586,3.93068295215874e-12,3.97791744406431e-11
"GO:0015031","protein transport","BP",1173,300,275,4.6952004067394e-12,2.94068408358103e-11
"GO:0050793","regulation of developmental process","BP",1765,423,391,5.09179545066595e-12,6.70797067147194e-12
"GO:0008219","cell death","BP",1551,379,322,5.09224822504744e-12,6.18509763934356e-07
"GO:0071310","cellular response to organic substance","BP",1739,417,378,6.79657823007873e-12,2.05640147393041e-10
"GO:0043933","protein-containing complex organization","BP",1294,299,301,3.59403390250233e-07,8.22024994541412e-12
"GO:0048699","generation of neurons","BP",1074,277,244,1.2388793232744e-11,8.70876390924693e-09
"GO:0065003","protein-containing complex assembly","BP",1140,264,270,1.49249506471424e-06,1.43060973127037e-11
"GO:0033043","regulation of organelle organization","BP",867,232,215,1.47922038906974e-11,2.4844367080137e-11
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",1354,335,304,2.06462707549037e-11,4.32414039561087e-10
"GO:0034330","cell junction organization","BP",537,129,147,0.000143875997505736,2.60908841995809e-11
"GO:0016070","RNA metabolic process","BP",3451,752,686,2.77285649727983e-11,2.54127494303036e-10
"GO:0046907","intracellular transport","BP",1178,296,276,5.59759149376947e-11,2.89765016999511e-11
"GO:0051254","positive regulation of RNA metabolic process","BP",1296,322,293,3.11423746269819e-11,4.28921805921828e-10
"GO:0031399","regulation of protein modification process","BP",1143,274,269,3.90274761236264e-08,3.20173009223869e-11
"GO:0032268","regulation of cellular protein metabolic process","BP",1794,424,388,3.86772758345068e-11,2.23899059402188e-10
"GO:0008283","cell population proliferation","BP",1405,344,280,4.26588403466509e-11,8.37310936168583e-05
"GO:0016310","phosphorylation","BP",1373,337,311,5.01206363202824e-11,9.40513878110348e-11
"GO:1901566","organonitrogen compound biosynthetic process","BP",1293,320,263,5.86876301313025e-11,3.29937960469686e-05
"GO:1902531","regulation of intracellular signal transduction","BP",1284,318,294,6.20548677000639e-11,9.41629960446122e-11
"GO:1901575","organic substance catabolic process","BP",1580,379,334,6.75849697764449e-11,5.81794963588175e-08
"GO:0044093","positive regulation of molecular function","BP",1166,293,262,7.01787853956958e-11,7.07575810438616e-09
"GO:0002376","immune system process","BP",1911,446,404,7.48674662255735e-11,1.91114180146845e-09
"GO:0030182","neuron differentiation","BP",1026,263,232,8.35154735381141e-11,3.11949955158447e-08
"GO:0048666","neuron development","BP",845,224,200,8.72036329951857e-11,7.60994406360417e-09
"GO:0033365","protein localization to organelle","BP",682,188,173,9.83284461260935e-11,3.70956650035084e-10
"GO:0051094","positive regulation of developmental process","BP",935,243,214,1.09952338224557e-10,4.04422244650216e-08
"GO:1901700","response to oxygen-containing compound","BP",1185,296,265,1.12346191040355e-10,9.22527425306228e-09
"GO:0043603","cellular amide metabolic process","BP",894,234,177,1.20649777696242e-10,0.00222376488433321
"GO:0009892","negative regulation of metabolic process","BP",2365,505,494,1.48456884424623e-06,1.35028501134563e-10
"GO:0051239","regulation of multicellular organismal process","BP",1961,453,420,2.39399250453783e-10,1.42775573877659e-10
"GO:0031324","negative regulation of cellular metabolic process","BP",1891,421,407,1.27480023758766e-07,1.47567060237604e-10
"GO:0012501","programmed cell death","BP",1436,347,294,1.88716466797102e-10,6.50983613315191e-06
"GO:0006897","endocytosis","BP",449,121,125,7.8494433775461e-07,2.5395464810991e-10
"GO:0009605","response to external stimulus","BP",1943,449,395,2.76927245471416e-10,3.12711304569496e-07
"GO:0030030","cell projection organization","BP",1180,293,265,2.78566712474124e-10,6.08940642413916e-09
"GO:0007017","microtubule-based process","BP",701,179,177,1.25646775749056e-07,3.41418648081521e-10
"GO:0006915","apoptotic process","BP",1396,337,282,4.00538354086607e-10,2.89125981351447e-05
"GO:0120036","plasma membrane bounded cell projection organization","BP",1146,285,262,4.18484717375531e-10,1.25672440705379e-09
"GO:0009628","response to abiotic stimulus","BP",808,213,180,4.36342990378852e-10,3.05876876986621e-06
"GO:0006955","immune response","BP",1257,308,266,4.48175316830995e-10,1.31706618124739e-06
"GO:0000226","microtubule cytoskeleton organization","BP",491,134,133,9.28809877696869e-08,4.93137717501734e-10
"GO:0009888","tissue development","BP",1326,322,278,5.09749124723408e-10,1.67886463102761e-06
"GO:0051276","chromosome organization","BP",809,197,198,1.1026831479697e-06,5.12485741455402e-10
"GO:0010628","positive regulation of gene expression","BP",847,221,176,5.46544090371426e-10,0.000223114875445473
"GO:2001141","regulation of RNA biosynthetic process","BP",2477,553,494,5.59999095363426e-10,1.03412906255975e-07
"GO:0006468","protein phosphorylation","BP",1174,290,269,6.18953811287137e-10,5.87946908487387e-10
"GO:0051172","negative regulation of nitrogen compound metabolic process","BP",1791,404,385,5.10000567864708e-08,5.90057714346785e-10
"GO:0006355","regulation of transcription, DNA-templated","BP",2468,551,492,6.04748052348535e-10,1.16575294298004e-07
"GO:1903506","regulation of nucleic acid-templated transcription","BP",2469,551,492,6.45684133943587e-10,1.22898204310826e-07
"GO:0051129","negative regulation of cellular component organization","BP",536,133,142,2.33340320378956e-05,6.65717656731825e-10
"GO:0060322","head development","BP",607,168,129,7.1554614902239e-10,0.000594145732606697
"GO:0010941","regulation of cell death","BP",1195,294,237,7.33976266912931e-10,0.000393112679912995
"GO:0051240","positive regulation of multicellular organismal process","BP",1042,260,243,1.83240501539958e-09,7.62690612645205e-10
"GO:0010605","negative regulation of macromolecule metabolic process","BP",2210,477,461,8.62629713569351e-07,7.77727777042037e-10
"GO:0051726","regulation of cell cycle","BP",799,198,195,2.82997753268172e-07,8.90857774438239e-10
"GO:0045595","regulation of cell differentiation","BP",1132,260,260,3.51633884271003e-06,9.11456475354751e-10
"GO:0042127","regulation of cell population proliferation","BP",1194,293,235,1.04529424666994e-09,0.000647304271957638
"GO:0031623","receptor internalization","BP",84,34,37,9.14441713874073e-07,1.63936456553666e-09
"GO:0007420","brain development","BP",573,159,123,1.68096236018673e-09,0.00052696581747426
"GO:0051247","positive regulation of protein metabolic process","BP",1124,271,257,2.67126851328477e-08,1.80643120205314e-09
"GO:0051049","regulation of transport","BP",1254,304,272,1.95733816789756e-09,1.09921735782463e-07
"GO:0019220","regulation of phosphate metabolic process","BP",1011,244,235,1.24599632110659e-07,2.01328405791826e-09
"GO:0071214","cellular response to abiotic stimulus","BP",241,81,65,2.26776159278476e-09,1.479952937797e-05
"GO:0104004","cellular response to environmental stimulus","BP",241,81,65,2.26776159278476e-09,1.479952937797e-05
"GO:1901701","cellular response to oxygen-containing compound","BP",846,218,189,2.29351614847006e-09,1.42702634292043e-06
"GO:0051174","regulation of phosphorus metabolic process","BP",1013,244,235,1.48045172625455e-07,2.42704194739234e-09
"GO:0016071","mRNA metabolic process","BP",556,148,144,1.09291656819442e-07,2.61965433508229e-09
"GO:0018193","peptidyl-amino acid modification","BP",983,237,229,2.07238981082612e-07,2.66172374920914e-09
"GO:0031175","neuron projection development","BP",736,194,174,2.69726657170624e-09,7.95921542578128e-08
"GO:0006508","proteolysis","BP",1282,309,257,2.72149594014267e-09,0.000110975450903096
"GO:0032880","regulation of protein localization","BP",626,158,158,1.44443266656469e-06,3.16926738693792e-09
"GO:0006898","receptor-mediated endocytosis","BP",192,58,64,1.76466455077749e-05,3.99597157805979e-09
"GO:0042592","homeostatic process","BP",1308,274,290,0.00144985292144096,4.33757134283683e-09
"GO:1902680","positive regulation of RNA biosynthetic process","BP",1192,289,268,4.99565433456146e-09,4.43026859073931e-09
"GO:0051640","organelle localization","BP",417,122,102,4.87685093254286e-09,8.37869541862849e-06
"GO:0006351","transcription, DNA-templated","BP",2558,562,508,5.11918022076099e-09,1.15266348515816e-07
"GO:0007417","central nervous system development","BP",770,200,157,5.45939372098309e-09,0.00112293266835912
"GO:0097659","nucleic acid-templated transcription","BP",2560,562,508,5.7791999159847e-09,1.27879889716862e-07
"GO:0140694","non-membrane-bounded organelle assembly","BP",294,70,87,0.00537984551068924,5.97660305572804e-09
"GO:0032774","RNA biosynthetic process","BP",2576,565,511,5.99694178289098e-09,1.21783634093441e-07
"GO:1903508","positive regulation of nucleic acid-templated transcription","BP",1186,287,266,6.90906317708044e-09,6.47383603608424e-09
"GO:0045893","positive regulation of transcription, DNA-templated","BP",1186,287,266,6.90906317708044e-09,6.47383603608424e-09
"GO:0042325","regulation of phosphorylation","BP",910,219,213,6.99550028787389e-07,6.49723278387808e-09
"GO:0000904","cell morphogenesis involved in differentiation","BP",548,151,127,7.21052732952275e-09,1.25168538495419e-05
"GO:0006886","intracellular protein transport","BP",653,174,151,7.75526545258561e-09,2.23053765554928e-06
"GO:0032990","cell part morphogenesis","BP",523,145,127,9.31888031124489e-09,1.04260771158546e-06
"GO:0000902","cell morphogenesis","BP",766,198,174,9.79765021776866e-09,1.26854813217843e-06
"GO:0032989","cellular component morphogenesis","BP",596,161,149,1.03202868067175e-08,1.73894939228824e-08
"GO:1901698","response to nitrogen compound","BP",814,208,175,1.11767694083505e-08,3.60161261374179e-05
"GO:0051656","establishment of organelle localization","BP",315,97,83,1.13144110725225e-08,2.87801351293091e-06
"GO:0048667","cell morphogenesis involved in neuron differentiation","BP",436,125,105,1.19270659766751e-08,1.27541699240304e-05
"GO:0032270","positive regulation of cellular protein metabolic process","BP",1057,253,240,1.51947724252134e-07,1.22364257354575e-08
"GO:0001932","regulation of protein phosphorylation","BP",806,190,191,1.48362145537214e-05,1.51585829003257e-08
"GO:0070925","organelle assembly","BP",705,167,171,3.65995284383825e-05,1.57988330151429e-08
"GO:1901565","organonitrogen compound catabolic process","BP",1019,250,210,1.92576910064731e-08,9.44929988753391e-05
"GO:0043085","positive regulation of catalytic activity","BP",876,220,191,1.94576781782882e-08,6.48815651646924e-06
"GO:0023057","negative regulation of signaling","BP",1016,229,231,4.94053495636356e-05,2.06818895857842e-08
"GO:0030029","actin filament-based process","BP",598,160,143,2.31344394094142e-08,5.72696956239598e-07
"GO:0031400","negative regulation of protein modification process","BP",390,89,106,0.00659330678423448,2.31902782122326e-08
"GO:0000278","mitotic cell cycle","BP",684,177,166,5.53239664184497e-08,2.4645327537792e-08
"GO:0010648","negative regulation of cell communication","BP",1012,229,229,3.79387704316846e-05,3.61172285633628e-08
"GO:0043067","regulation of programmed cell death","BP",1089,263,215,3.70171610832376e-08,0.00092169815439364
"GO:0034645","cellular macromolecule biosynthetic process","BP",883,220,182,3.86739977561306e-08,0.000270134271812718
"GO:0097190","apoptotic signaling pathway","BP",471,131,113,3.92342805932968e-08,7.2950290392698e-06
"GO:0006928","movement of cell or subcellular component","BP",1557,358,308,3.97772009655269e-08,6.51688426274104e-05
"GO:0120039","plasma membrane bounded cell projection morphogenesis","BP",503,138,123,4.2464082784072e-08,1.04891994490286e-06
"GO:0010243","response to organonitrogen compound","BP",753,192,160,4.90151021214598e-08,0.000140980870118373
"GO:1901135","carbohydrate derivative metabolic process","BP",744,190,158,5.10337130694968e-08,0.000159155457952788
"GO:0048812","neuron projection morphogenesis","BP",491,135,120,5.17001984702848e-08,1.45650592309328e-06
"GO:0048858","cell projection morphogenesis","BP",505,138,123,5.50536245937782e-08,1.30279474266436e-06
"GO:0097435","supramolecular fiber organization","BP",592,145,146,2.07430469213287e-05,6.02813255700493e-08
"GO:0044281","small molecule metabolic process","BP",1310,307,274,6.07736261877464e-08,2.4382603989242e-06
"GO:0071495","cellular response to endogenous stimulus","BP",979,239,217,6.21792049608924e-08,4.35004975779712e-07
"GO:1902533","positive regulation of intracellular signal transduction","BP",723,185,163,6.59732277367114e-08,4.35293259186045e-06
"GO:0000165","MAPK cascade","BP",568,132,141,0.000531713023797629,6.65768804773634e-08
"GO:0002682","regulation of immune system process","BP",1029,249,214,7.27204078974214e-08,4.58844564898753e-05
"GO:0007155","cell adhesion","BP",1112,266,233,7.60591148256094e-08,1.25017686796894e-05
"GO:0010564","regulation of cell cycle process","BP",512,131,129,5.40862992526787e-06,9.83009852558796e-08
"GO:0051338","regulation of transferase activity","BP",657,166,158,7.33022152369959e-07,1.00440267174175e-07
"GO:0007264","small GTPase mediated signal transduction","BP",398,113,95,1.03899229886094e-07,4.64331864705545e-05
"GO:1901699","cellular response to nitrogen compound","BP",510,138,116,1.04011024005808e-07,6.83670015985571e-05
"GO:1903047","mitotic cell cycle process","BP",574,152,139,1.04869783180203e-07,3.86130155642192e-07
"GO:0080134","regulation of response to stress","BP",990,240,204,1.07813952203735e-07,0.000119425202054513
"GO:0042981","regulation of apoptotic process","BP",1068,256,209,1.12357883938123e-07,0.00168927434291907
"GO:0009057","macromolecule catabolic process","BP",1025,247,215,1.19029126538143e-07,2.52995621939715e-05
"GO:0050808","synapse organization","BP",332,78,91,0.00496044453581348,1.47657357236319e-07
"GO:0019752","carboxylic acid metabolic process","BP",698,178,147,1.49960452217345e-07,0.000390091826285733
"GO:0006629","lipid metabolic process","BP",1018,245,208,1.49997154892868e-07,0.000169384423578392
"GO:0006518","peptide metabolic process","BP",684,175,138,1.50964868372743e-07,0.00323719771196961
"GO:0006974","cellular response to DNA damage stimulus","BP",642,166,141,1.51415088724993e-07,7.20551077473551e-05
"GO:0050776","regulation of immune response","BP",642,166,144,1.51415088724993e-07,2.04263576259004e-05
"GO:0030036","actin cytoskeleton organization","BP",536,143,128,1.54438607029504e-07,2.38613593120542e-06
"GO:0009719","response to endogenous stimulus","BP",1147,271,241,1.8097200247056e-07,7.21019922817627e-06
"GO:0009894","regulation of catabolic process","BP",766,192,177,1.83414986275203e-07,3.17732956972768e-07
"GO:0035295","tube development","BP",776,194,144,1.92980159885571e-07,0.0427926733013823
"GO:0006259","DNA metabolic process","BP",772,193,172,2.07547472430141e-07,5.02434760696452e-06
"GO:0002684","positive regulation of immune system process","BP",636,164,133,2.17143081576785e-07,0.000962728691612845
"GO:0006082","organic acid metabolic process","BP",735,185,152,2.26468125039844e-07,0.000721248525417867
"GO:0010639","negative regulation of organelle organization","BP",271,69,77,0.000957255340469751,2.7696962782322e-07
"GO:0048285","organelle fission","BP",370,93,98,0.000230718354664907,2.93423008462e-07
"GO:0032870","cellular response to hormone stimulus","BP",446,122,112,3.02438455883123e-07,8.03580103621114e-07
"GO:0043436","oxoacid metabolic process","BP",719,181,148,3.02730888243574e-07,0.00102834044443833
"GO:0060341","regulation of cellular localization","BP",598,150,144,3.83307055169899e-06,3.40133804147303e-07
"GO:0031329","regulation of cellular catabolic process","BP",659,164,156,2.27202227035665e-06,3.43754626191535e-07
"GO:0010942","positive regulation of cell death","BP",438,120,92,3.44943364804597e-07,0.00473088285055375
"GO:0043549","regulation of kinase activity","BP",568,140,138,2.05592011531502e-05,3.48229405551332e-07
"GO:0044089","positive regulation of cellular component biogenesis","BP",381,105,100,1.3584550544952e-06,3.54557875121479e-07
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process","BP",1131,259,246,4.65654095942027e-06,3.64961278857394e-07
"GO:0045859","regulation of protein kinase activity","BP",485,115,121,0.000541190735800128,4.25103764087455e-07
"GO:0071478","cellular response to radiation","BP",149,52,43,4.25802278377325e-07,7.423367196312e-05
"GO:0045944","positive regulation of transcription by RNA polymerase II","BP",874,207,197,4.46503869160923e-06,4.46731558119457e-07
"GO:0030100","regulation of endocytosis","BP",158,46,51,0.000316953666471539,4.51773528343663e-07
"GO:0009790","embryo development","BP",766,190,160,4.60394477992807e-07,0.000329581291578984
"GO:0051253","negative regulation of RNA metabolic process","BP",1033,235,227,2.07269205768844e-05,4.69051765529125e-07
"GO:0043254","regulation of protein-containing complex assembly","BP",307,73,84,0.00471290696744542,4.74750386727235e-07
"GO:0007051","spindle organization","BP",154,49,50,1.70350039538862e-05,4.78197123947675e-07
