"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0019538","protein metabolic process","BP",4029,1327,822,1.80267470106835e-36,7.3459090411416e-17
"GO:0050896","response to stimulus","BP",6290,1936,1243,1.22905186577643e-35,3.93789277835337e-22
"GO:0009893","positive regulation of metabolic process","BP",2795,971,579,4.59496102205533e-35,8.13182128522297e-13
"GO:0032502","developmental process","BP",4588,1470,962,3.87209949995226e-34,2.1756954145525e-24
"GO:0051179","localization","BP",4549,1458,936,7.07328249755806e-34,8.12814335898536e-21
"GO:0044267","cellular protein metabolic process","BP",3613,1198,753,9.44577702992384e-34,1.26349067702048e-17
"GO:0048856","anatomical structure development","BP",4180,1355,885,1.40803150352007e-33,1.91093715684792e-23
"GO:0051173","positive regulation of nitrogen compound metabolic process","BP",2294,818,476,2.20802232322883e-33,1.13757536555739e-10
"GO:0006996","organelle organization","BP",2945,1005,629,6.27315825789068e-33,7.50983892358646e-17
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2571,897,529,6.8562627358118e-33,3.292818125552e-11
"GO:0031325","positive regulation of cellular metabolic process","BP",2431,856,509,7.71278646777454e-33,4.84801406838772e-12
"GO:0051716","cellular response to stimulus","BP",5280,1640,1030,8.57132055421467e-31,1.43365244777339e-15
"GO:0034641","cellular nitrogen compound metabolic process","BP",4832,1515,932,4.77077110651651e-30,1.57127936318507e-12
"GO:0048731","system development","BP",3150,1039,671,9.9641355826903e-28,8.84865470168515e-18
"GO:0019222","regulation of metabolic process","BP",5014,1550,997,1.57034463153876e-27,1.70875099213715e-17
"GO:0043412","macromolecule modification","BP",2917,972,604,1.769040114082e-27,2.40905525963995e-13
"GO:0007275","multicellular organism development","BP",3479,1127,744,6.32246006349471e-27,2.15365226552611e-20
"GO:0051128","regulation of cellular component organization","BP",1754,632,401,8.12417105149382e-27,3.15235520029575e-15
"GO:0051234","establishment of localization","BP",3401,1103,727,1.7420482207469e-26,8.0277847222657e-20
"GO:0006464","cellular protein modification process","BP",2751,920,576,1.84687041573575e-26,1.23580799278669e-13
"GO:0036211","protein modification process","BP",2751,920,576,1.84687041573575e-26,1.23580799278669e-13
"GO:0032501","multicellular organismal process","BP",5238,1603,1060,2.53835289351776e-26,1.42601921983925e-21
"GO:0031323","regulation of cellular metabolic process","BP",4379,1371,883,2.81772930334703e-26,7.81727614948101e-17
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","BP",1447,536,312,7.6331112225226e-26,5.36000352156544e-09
"GO:0051171","regulation of nitrogen compound metabolic process","BP",4138,1299,822,3.64145573861303e-25,7.39151707693202e-14
"GO:0023052","signaling","BP",4565,1415,885,3.70206109743184e-25,2.39052113244983e-12
"GO:0080090","regulation of primary metabolic process","BP",4237,1325,842,5.42687981569119e-25,2.78912491901989e-14
"GO:0006810","transport","BP",3275,1060,694,5.6301917690248e-25,7.11603570792674e-18
"GO:0007154","cell communication","BP",4614,1427,894,6.02579835568383e-25,1.97710897873235e-12
"GO:0051254","positive regulation of RNA metabolic process","BP",1296,485,273,1.77052169932573e-24,4.43414394349522e-07
"GO:0060255","regulation of macromolecule metabolic process","BP",4641,1431,915,2.14459172322045e-24,9.30839663343597e-15
"GO:0007165","signal transduction","BP",4201,1311,816,2.87463601715991e-24,1.80708471045059e-11
"GO:0046483","heterocycle metabolic process","BP",4320,1343,842,3.29856995117656e-24,3.21206773212662e-12
"GO:0006139","nucleobase-containing compound metabolic process","BP",4199,1310,817,3.44040584629177e-24,1.1918626951923e-11
"GO:0006725","cellular aromatic compound metabolic process","BP",4364,1354,843,4.75427519358183e-24,2.44166327717017e-11
"GO:1901360","organic cyclic compound metabolic process","BP",4535,1400,879,5.32210806733653e-24,3.12600185672758e-12
"GO:0043933","protein-containing complex organization","BP",1294,481,266,1.46978990529743e-23,4.76431234914732e-06
"GO:0031328","positive regulation of cellular biosynthetic process","BP",1431,521,291,3.50095649248107e-23,4.20570754467217e-06
"GO:0009058","biosynthetic process","BP",4246,1316,842,4.77808068619668e-23,4.77298089305539e-14
"GO:0044249","cellular biosynthetic process","BP",4151,1290,819,5.14862778468416e-23,4.35899884806025e-13
"GO:1901576","organic substance biosynthetic process","BP",4188,1300,836,5.26121896629609e-23,1.16314772604643e-14
"GO:1903508","positive regulation of nucleic acid-templated transcription","BP",1186,445,241,9.70605977808603e-23,3.0591605964783e-05
"GO:0045893","positive regulation of transcription, DNA-templated","BP",1186,445,241,9.70605977808603e-23,3.0591605964783e-05
"GO:1902680","positive regulation of RNA biosynthetic process","BP",1192,446,243,1.64200329792312e-22,2.26068898088051e-05
"GO:0045944","positive regulation of transcription by RNA polymerase II","BP",874,347,168,1.73915648493644e-22,0.0054931347949147
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",1354,495,277,1.84196981399294e-22,4.46003649102718e-06
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",3460,1097,679,2.30643039195297e-22,2.85322486793037e-10
"GO:0009891","positive regulation of biosynthetic process","BP",1454,524,294,3.34303818664626e-22,6.04616772108824e-06
"GO:0007399","nervous system development","BP",1804,626,393,7.15709169629824e-22,9.63372149464817e-12
"GO:0009059","macromolecule biosynthetic process","BP",3449,1090,676,1.13544555790523e-21,3.99618368626147e-10
"GO:0033036","macromolecule localization","BP",2184,735,476,1.15607051054552e-21,3.51040186921938e-14
"GO:0009653","anatomical structure morphogenesis","BP",1966,672,435,1.26328038349261e-21,4.79866943216132e-14
"GO:0008104","protein localization","BP",1858,640,407,1.74953201820279e-21,1.68927806559799e-12
"GO:0090304","nucleic acid metabolic process","BP",3878,1206,753,2.08378305374335e-21,1.7150636479591e-10
"GO:0048523","negative regulation of cellular process","BP",3603,1130,761,2.84001065578048e-21,2.11460288235086e-19
"GO:0065008","regulation of biological quality","BP",2764,897,569,3.40957241059488e-21,4.30625496491993e-12
"GO:0065003","protein-containing complex assembly","BP",1140,425,231,3.94056290773543e-21,5.39186652187524e-05
"GO:0007049","cell cycle","BP",1342,486,295,4.28604679005812e-21,1.90858048743229e-09
"GO:0010467","gene expression","BP",4651,1413,885,4.43315694550831e-21,1.89797871333576e-10
"GO:0035556","intracellular signal transduction","BP",1993,674,395,2.13288656536241e-20,1.14861256816658e-06
"GO:0048869","cellular developmental process","BP",3067,977,649,2.21074417660842e-20,1.7524508372242e-16
"GO:0065009","regulation of molecular function","BP",2284,757,474,2.42542783740818e-20,1.22627833693125e-10
"GO:0032879","regulation of localization","BP",2020,681,420,3.07738273248272e-20,1.33733089152618e-09
"GO:0030154","cell differentiation","BP",3048,970,643,4.43472035283319e-20,5.11304121631367e-16
"GO:0048519","negative regulation of biological process","BP",4039,1241,816,5.35712192377201e-20,1.35606017388958e-15
"GO:0030030","cell projection organization","BP",1180,432,260,8.85200629673194e-20,1.49889468323765e-08
"GO:0120036","plasma membrane bounded cell projection organization","BP",1146,420,255,2.43115185196012e-19,8.22344819036422e-09
"GO:0006793","phosphorus metabolic process","BP",2040,681,436,4.46212015002022e-19,1.10754892591335e-11
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",2926,930,588,5.16663723581404e-19,1.31379132599339e-10
"GO:0048583","regulation of response to stimulus","BP",2900,922,599,7.05034852562009e-19,5.069289336591e-13
"GO:0007010","cytoskeleton organization","BP",1113,406,245,2.56096139312394e-18,4.36478609312687e-08
"GO:0051641","cellular localization","BP",2137,704,477,3.58350151868514e-18,4.23698601248154e-16
"GO:0023051","regulation of signaling","BP",2486,802,527,4.36996287291013e-18,1.99474241307733e-13
"GO:0006796","phosphate-containing compound metabolic process","BP",2023,671,433,4.57674994543048e-18,1.06086543030015e-11
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",2856,905,567,4.63040239497666e-18,2.24208481220002e-09
"GO:1901362","organic cyclic compound biosynthetic process","BP",3023,951,598,4.98763052465929e-18,1.29006136512094e-09
"GO:0018130","heterocycle biosynthetic process","BP",2911,920,576,5.07414649739401e-18,2.74023948203604e-09
"GO:0051252","regulation of RNA metabolic process","BP",2703,862,546,5.62234073268553e-18,3.18685807462197e-10
"GO:0016070","RNA metabolic process","BP",3451,1068,662,5.97005932833609e-18,2.63496198466223e-08
"GO:0010646","regulation of cell communication","BP",2475,798,524,6.3658412983576e-18,2.9983436796202e-13
"GO:0048584","positive regulation of response to stimulus","BP",1570,539,336,9.14887577887998e-18,3.07921910833275e-09
"GO:0019438","aromatic compound biosynthetic process","BP",2921,920,575,1.46361852441437e-17,6.40901398027132e-09
"GO:0022402","cell cycle process","BP",915,342,205,2.42205494428989e-17,1.49901444753512e-07
"GO:0048468","cell development","BP",1555,531,342,5.39704171230791e-17,7.8615835172978e-11
"GO:0070727","cellular macromolecule localization","BP",1304,457,297,6.94738869304014e-17,2.95690952188101e-11
"GO:0006950","response to stress","BP",2796,881,593,7.86287183710739e-17,3.41752312295156e-15
"GO:0034613","cellular protein localization","BP",1297,454,294,1.12801454598874e-16,6.56144111662888e-11
"GO:0044093","positive regulation of molecular function","BP",1166,415,235,1.22914470650278e-16,6.64050870432567e-05
"GO:0051130","positive regulation of cellular component organization","BP",802,304,193,1.78982745988955e-16,1.19070838017902e-09
"GO:0050790","regulation of catalytic activity","BP",1758,587,370,1.81991092987298e-16,3.50244183417243e-09
"GO:0051246","regulation of protein metabolic process","BP",1925,634,391,2.48668152372979e-16,8.88449185689154e-08
"GO:0007166","cell surface receptor signaling pathway","BP",1979,649,414,2.88392498442206e-16,7.93621515569698e-10
"GO:0010468","regulation of gene expression","BP",3665,1115,718,2.93091891950079e-16,9.82437308595592e-11
"GO:0048513","animal organ development","BP",2463,785,515,3.01995717893837e-16,4.42688490144459e-12
"GO:0008219","cell death","BP",1551,526,352,3.38085278872902e-16,5.66957478024737e-13
"GO:0023056","positive regulation of signaling","BP",1239,434,266,5.00812002838169e-16,1.16889915809815e-07
"GO:0010556","regulation of macromolecule biosynthetic process","BP",2862,893,561,7.86483001958092e-16,1.95940076689021e-08
"GO:0031326","regulation of cellular biosynthetic process","BP",2972,923,574,8.58749162997209e-16,1.14363196104548e-07
"GO:0009966","regulation of signal transduction","BP",2208,711,465,8.60210101125839e-16,2.04969825983087e-11
"GO:0010647","positive regulation of cell communication","BP",1236,432,264,8.89660508431191e-16,2.0702299615956e-07
"GO:0006355","regulation of transcription, DNA-templated","BP",2468,781,486,2.39831845602986e-15,1.21473554727955e-07
"GO:1903506","regulation of nucleic acid-templated transcription","BP",2469,781,486,2.66400635187726e-15,1.27998906713963e-07
"GO:2001141","regulation of RNA biosynthetic process","BP",2477,783,488,2.89763417142927e-15,1.07047563358522e-07
"GO:0006351","transcription, DNA-templated","BP",2558,805,500,3.45679543876923e-15,2.02868172199419e-07
"GO:0097659","nucleic acid-templated transcription","BP",2560,805,500,4.24389120403712e-15,2.24416807646027e-07
"GO:0009889","regulation of biosynthetic process","BP",3011,929,581,4.47233741791514e-15,1.06744391254135e-07
"GO:0032774","RNA biosynthetic process","BP",2576,809,503,4.97275887609015e-15,2.11344329726184e-07
"GO:0032880","regulation of protein localization","BP",626,243,146,9.90743200949489e-15,9.09820325963975e-07
"GO:0016310","phosphorylation","BP",1373,467,284,1.097472381021e-14,1.30742840229736e-06
"GO:0022008","neurogenesis","BP",1227,424,267,1.3234054157369e-14,3.15100796832288e-08
"GO:0032268","regulation of cellular protein metabolic process","BP",1794,586,363,2.41979731888546e-14,4.09772197474286e-07
"GO:0012501","programmed cell death","BP",1436,483,326,3.11362054594922e-14,4.37172914857165e-12
"GO:0018193","peptidyl-amino acid modification","BP",983,350,227,3.38779031934689e-14,2.09738403069992e-09
"GO:0009967","positive regulation of signal transduction","BP",1111,387,236,5.61804769623397e-14,1.45356280169687e-06
"GO:0006468","protein phosphorylation","BP",1174,405,237,7.28204345108653e-14,5.54596006212291e-05
"GO:0044087","regulation of cellular component biogenesis","BP",733,273,152,7.57119017324061e-14,0.000347907644268587
"GO:0050793","regulation of developmental process","BP",1765,575,376,7.63689034614697e-14,5.59185468889946e-10
"GO:0033043","regulation of organelle organization","BP",867,313,204,1.14132744896699e-13,2.89360674032158e-09
"GO:0006357","regulation of transcription by RNA polymerase II","BP",1826,591,344,1.27284943224292e-13,0.000399228600594492
"GO:0000902","cell morphogenesis","BP",766,282,184,1.44584828304446e-13,3.40322055685006e-09
"GO:0033554","cellular response to stress","BP",1440,480,324,2.00730284599937e-13,1.60514394191124e-11
"GO:0030182","neuron differentiation","BP",1026,359,232,2.45155842465071e-13,9.67096656132587e-09
"GO:0048699","generation of neurons","BP",1074,373,242,2.664125637594e-13,6.3505202609081e-09
"GO:0006915","apoptotic process","BP",1396,466,314,3.64164519521242e-13,3.56006154338652e-11
"GO:0051726","regulation of cell cycle","BP",799,290,174,4.6031015155427e-13,8.0719153058179e-06
"GO:0044248","cellular catabolic process","BP",1682,546,350,7.15982343417926e-13,3.53176171562006e-08
"GO:0009056","catabolic process","BP",1927,615,390,7.16037004913676e-13,1.39263744073481e-07
"GO:0048666","neuron development","BP",845,303,201,7.38907534424117e-13,1.48552009918379e-09
"GO:0030031","cell projection assembly","BP",440,177,85,1.27019502669587e-12,0.0349612037786889
"GO:0031399","regulation of protein modification process","BP",1143,390,233,1.27220923277057e-12,3.34947932867347e-05
"GO:0051049","regulation of transport","BP",1254,422,265,1.41810064584745e-12,5.01330347416858e-07
"GO:0043085","positive regulation of catalytic activity","BP",876,311,178,1.46927904512032e-12,0.000330366214615088
"GO:0006366","transcription by RNA polymerase II","BP",1888,602,353,1.57365725178161e-12,0.000584088153934948
"GO:0006974","cellular response to DNA damage stimulus","BP",642,240,142,1.62429343820444e-12,2.43167974680014e-05
"GO:0051247","positive regulation of protein metabolic process","BP",1124,383,232,2.53340890973683e-12,1.47675233860356e-05
"GO:0000904","cell morphogenesis involved in differentiation","BP",548,210,134,2.82640403808212e-12,1.6010700606218e-07
"GO:0120031","plasma membrane bounded cell projection assembly","BP",431,173,82,2.8403432978846e-12,0.051300385925714
"GO:0010033","response to organic substance","BP",2198,686,453,3.65105026452977e-12,9.30822158533776e-10
"GO:0032270","positive regulation of cellular protein metabolic process","BP",1057,362,220,5.01530413920309e-12,1.40148302592582e-05
"GO:0002376","immune system process","BP",1911,605,385,5.67419858937498e-12,2.80670959251706e-07
"GO:0070887","cellular response to chemical stimulus","BP",2207,687,447,6.13150314789695e-12,1.29860858767671e-08
"GO:0030036","actin cytoskeleton organization","BP",536,205,124,6.36158347459325e-12,8.97069851721952e-06
"GO:0071702","organic substance transport","BP",1789,557,391,8.20429355358862e-10,6.90440051203653e-12
"GO:0030029","actin filament-based process","BP",598,224,137,7.26789651519813e-12,5.30798758188087e-06
"GO:0048667","cell morphogenesis involved in neuron differentiation","BP",436,173,107,8.87076862344116e-12,2.3156663689465e-06
"GO:0033365","protein localization to organelle","BP",682,249,158,1.08566629620849e-11,5.03865772368995e-07
"GO:0000226","microtubule cytoskeleton organization","BP",491,190,107,1.16030255655311e-11,0.000414552671972939
"GO:0097435","supramolecular fiber organization","BP",592,221,120,1.46605736294899e-11,0.00313896791060194
"GO:0016192","vesicle-mediated transport","BP",1151,387,252,1.4813270613904e-11,4.535708034382e-08
"GO:0042221","response to chemical","BP",3075,921,620,1.58910839897258e-11,1.86663250307284e-11
"GO:0006259","DNA metabolic process","BP",772,275,169,2.01363263834592e-11,7.94448644413719e-06
"GO:0006928","movement of cell or subcellular component","BP",1557,502,312,2.22951168749584e-11,6.77200685973073e-06
"GO:0000278","mitotic cell cycle","BP",684,248,149,2.69365227645077e-11,3.50411182111937e-05
"GO:0032989","cellular component morphogenesis","BP",596,221,143,3.06284969708343e-11,2.07977225982517e-07
"GO:0051649","establishment of localization in cell","BP",1577,502,348,1.90225423511902e-10,3.40398230051316e-11
"GO:0071310","cellular response to organic substance","BP",1739,551,358,5.01683940183052e-11,7.95719151288301e-08
"GO:0070925","organelle assembly","BP",705,253,140,5.61897282805074e-11,0.0033441613473206
"GO:1902531","regulation of intracellular signal transduction","BP",1284,422,260,6.01036735632345e-11,1.92195564516822e-05
"GO:0009790","embryo development","BP",766,271,177,6.46326885223678e-11,1.25322569484001e-07
"GO:0031175","neuron projection development","BP",736,262,175,6.5962984947792e-11,1.80960715616404e-08
"GO:0120039","plasma membrane bounded cell projection morphogenesis","BP",503,191,122,6.86340728372445e-11,8.91447354517141e-07
"GO:0031401","positive regulation of protein modification process","BP",740,263,149,7.32126650584696e-11,0.00143699460461053
"GO:0010941","regulation of cell death","BP",1195,396,271,7.44443944251711e-11,3.7253769488503e-10
"GO:0051050","positive regulation of transport","BP",657,238,136,7.52649848103249e-11,0.000747971612137012
"GO:0051276","chromosome organization","BP",809,283,186,9.65424107977719e-11,8.71392748135857e-08
"GO:0048858","cell projection morphogenesis","BP",505,191,122,1.01372017115197e-10,1.10705778036707e-06
"GO:0032990","cell part morphogenesis","BP",523,196,128,1.43698572143288e-10,2.86706549207891e-07
"GO:0048812","neuron projection morphogenesis","BP",491,186,119,1.53100257371713e-10,1.25955276217412e-06
"GO:0006508","proteolysis","BP",1282,419,272,1.63386017643657e-10,2.45699739847041e-07
"GO:0051240","positive regulation of multicellular organismal process","BP",1042,350,215,1.70044776153291e-10,3.11299086489829e-05
"GO:0051239","regulation of multicellular organismal process","BP",1961,608,405,2.61174643527046e-10,6.53657802063247e-09
"GO:0006897","endocytosis","BP",449,172,104,2.75891870210792e-10,4.36291262405268e-05
"GO:0010564","regulation of cell cycle process","BP",512,191,115,3.82293558356274e-10,7.164519738815e-05
"GO:0051345","positive regulation of hydrolase activity","BP",432,166,89,4.29960877104408e-10,0.00638932158740067
"GO:0016032","viral process","BP",325,132,76,4.31023385737174e-10,0.000322842246398386
"GO:0007155","cell adhesion","BP",1112,368,242,4.38766473415868e-10,1.43144644821966e-07
"GO:0007417","central nervous system development","BP",770,268,174,5.46701021832006e-10,7.48014339560061e-07
"GO:0070201","regulation of establishment of protein localization","BP",380,149,87,6.55579472192342e-10,0.000266269823988322
"GO:1903047","mitotic cell cycle process","BP",574,209,124,6.60171170407154e-10,0.00022113213112913
"GO:0007017","microtubule-based process","BP",701,247,154,7.15892900130746e-10,1.636297551012e-05
"GO:0060271","cilium assembly","BP",281,117,60,7.2038656728567e-10,0.0106784564331099
"GO:0045184","establishment of protein localization","BP",1264,410,281,7.75070992072315e-10,1.47945487681976e-09
"GO:0044782","cilium organization","BP",303,124,64,8.26928553072159e-10,0.0109108705595946
"GO:1901575","organic substance catabolic process","BP",1580,498,321,1.10282937173829e-09,1.41189683385782e-06
"GO:0051336","regulation of hydrolase activity","BP",739,257,162,1.36051601070728e-09,1.1255638490271e-05
"GO:0051094","positive regulation of developmental process","BP",935,314,202,1.58155634772677e-09,2.65975002050753e-06
"GO:0044089","positive regulation of cellular component biogenesis","BP",381,148,80,1.59311687270449e-09,0.00573867183085884
"GO:0034330","cell junction organization","BP",537,196,137,1.79699705168471e-09,7.4005295504907e-09
"GO:0030155","regulation of cell adhesion","BP",554,201,117,1.96309054880991e-09,0.000800256858222369
"GO:0043067","regulation of programmed cell death","BP",1089,357,247,2.75399358224835e-09,2.32843630967365e-09
"GO:0015031","protein transport","BP",1173,381,261,2.6909839399817e-09,5.43885461051327e-09
"GO:0048002","antigen processing and presentation of peptide antigen","BP",54,34,14,4.4118131114943e-09,0.0417876283160794
"GO:0051174","regulation of phosphorus metabolic process","BP",1013,334,206,4.59731774329608e-09,0.000110178187587292
"GO:0051493","regulation of cytoskeleton organization","BP",399,152,85,4.62951794241650e-09,0.00300535334359838
"GO:0040011","locomotion","BP",1348,429,259,4.6871562692431e-09,0.000670056561670514
"GO:0046907","intracellular transport","BP",1178,381,254,4.6988424523503e-09,1.57270265330667e-07
"GO:0048646","anatomical structure formation involved in morphogenesis","BP",841,283,198,8.35850211661711e-09,4.74093504600919e-09
"GO:0019220","regulation of phosphate metabolic process","BP",1011,333,206,5.48948441468473e-09,9.79482307645241e-05
"GO:0042981","regulation of apoptotic process","BP",1068,346,241,2.04427596689e-08,5.96585642524677e-09
"GO:0007015","actin filament organization","BP",325,128,72,7.52660802032522e-09,0.00215778427245163
"GO:1903829","positive regulation of protein localization","BP",325,128,71,7.52660802032522e-09,0.00332856428884919
"GO:0019882","antigen processing and presentation","BP",90,48,20,8.71625184521003e-09,0.075701383724418
"GO:0051223","regulation of protein transport","BP",358,138,81,9.94120444013234e-09,0.000621131523028881
"GO:0007264","small GTPase mediated signal transduction","BP",398,150,66,1.33548896407271e-08,0.399003788437463
"GO:0009628","response to abiotic stimulus","BP",808,272,176,1.57443724785384e-08,7.06530485455673e-06
"GO:0071705","nitrogen compound transport","BP",1500,468,319,1.5992118686246e-08,1.59557590368926e-08
"GO:0051172","negative regulation of nitrogen compound metabolic process","BP",1791,548,361,1.84288160645436e-08,6.58852449519926e-07
"GO:0019637","organophosphate metabolic process","BP",686,213,165,0.000193648369432323,2.02339692494862e-08
"GO:0010638","positive regulation of organelle organization","BP",378,143,101,2.19601520182681e-08,6.2278859153786e-08
"GO:0022603","regulation of anatomical structure morphogenesis","BP",688,236,152,2.46405672703182e-08,1.35684484401618e-05
"GO:0060322","head development","BP",607,212,142,2.59627113338829e-08,1.06953674951017e-06
"GO:0045937","positive regulation of phosphate metabolic process","BP",651,225,131,2.60629126153602e-08,0.00275036087676543
"GO:0010562","positive regulation of phosphorus metabolic process","BP",651,225,131,2.60629126153602e-08,0.00275036087676543
"GO:0042325","regulation of phosphorylation","BP",910,300,182,2.92402383231321e-08,0.000637729434802775
"GO:0006281","DNA repair","BP",425,157,102,2.94425832567212e-08,1.1010825185641e-05
"GO:1901565","organonitrogen compound catabolic process","BP",1019,331,207,3.10519761828169e-08,0.00011300773659113
"GO:1904951","positive regulation of establishment of protein localization","BP",220,92,49,3.55718238784169e-08,0.00902255719449602
"GO:0060548","negative regulation of cell death","BP",748,231,176,0.000152044109675415,3.6234497886055e-08
"GO:0061564","axon development","BP",371,140,85,3.67937837784214e-08,0.000303570673174721
"GO:0022411","cellular component disassembly","BP",365,138,67,4.01282598436258e-08,0.124453549131619
"GO:0051129","negative regulation of cellular component organization","BP",536,190,126,4.02830697733162e-08,3.30069578399172e-06
"GO:0050776","regulation of immune response","BP",642,213,155,1.8342807988263e-06,4.20267950584994e-08
"GO:0010628","positive regulation of gene expression","BP",847,281,184,4.24006938206619e-08,5.21534379632093e-06
"GO:0043069","negative regulation of programmed cell death","BP",678,207,162,0.000634974921157079,4.36299105927866e-08
"GO:0008283","cell population proliferation","BP",1405,429,299,9.55339011973316e-07,4.38802796531432e-08
"GO:1901700","response to oxygen-containing compound","BP",1185,377,249,4.46664730991237e-08,1.78162244291322e-06
"GO:0045595","regulation of cell differentiation","BP",1132,362,248,4.58138062391352e-08,5.50970543506492e-08
"GO:0051222","positive regulation of protein transport","BP",206,87,46,4.82296378684911e-08,0.0106181008697962
"GO:0060341","regulation of cellular localization","BP",598,208,137,5.03976150677897e-08,5.30798758188087e-06
"GO:0031324","negative regulation of cellular metabolic process","BP",1891,572,379,5.19104817563716e-08,6.12417458679748e-07
"GO:0009605","response to external stimulus","BP",1943,586,380,5.50214230869606e-08,7.0373503754795e-06
"GO:0044419","biological process involved in interspecies interaction between organisms","BP",1159,369,222,5.73170342493339e-08,0.00186666872507804
"GO:0007507","heart development","BP",417,148,109,1.13989662522739e-06,6.6036677946046e-08
"GO:0016071","mRNA metabolic process","BP",556,195,126,6.61347080318071e-08,2.14740791637967e-05
"GO:0006955","immune response","BP",1257,396,258,6.85314607591385e-08,7.49067149707274e-06
"GO:0035239","tube morphogenesis","BP",637,209,153,5.3014518992967e-06,7.29461710342477e-08
"GO:0035295","tube development","BP",776,256,180,2.88446352829026e-07,7.38237623895264e-08
"GO:0009888","tissue development","BP",1326,415,272,7.5229270504485e-08,4.40129947650355e-06
"GO:0002682","regulation of immune system process","BP",1029,328,228,2.84070833269541e-07,7.57257881061294e-08
"GO:0009892","negative regulation of metabolic process","BP",2365,699,450,8.1864415218297e-08,1.74182289985097e-05
"GO:0009894","regulation of catabolic process","BP",766,256,173,8.48160434962809e-08,8.35307506352047e-07
"GO:0031344","regulation of cell projection organization","BP",504,179,106,8.49666578989971e-08,0.00158181011596179
"GO:0043066","negative regulation of apoptotic process","BP",664,202,158,0.000892698716358516,8.51144561774597e-08
"GO:0010942","positive regulation of cell death","BP",438,159,92,9.05435307946838e-08,0.00320997130836122
"GO:0044770","cell cycle phase transition","BP",412,151,80,9.56008090072936e-08,0.0357563371411483
"GO:1901566","organonitrogen compound biosynthetic process","BP",1293,405,255,9.87830745247191e-08,0.0001440236442396
"GO:0044265","cellular macromolecule catabolic process","BP",879,288,191,1.04990494754997e-07,3.39590795299832e-06
"GO:0001932","regulation of protein phosphorylation","BP",806,267,152,1.07079187502137e-07,0.0153868558870957
"GO:0048568","embryonic organ development","BP",303,117,73,1.15371117453604e-07,0.000162475743910936
"GO:1902903","regulation of supramolecular fiber organization","BP",284,111,57,1.16288223611217e-07,0.0392799617866387
"GO:0044281","small molecule metabolic process","BP",1310,409,269,1.26891555836697e-07,4.58030862961713e-06
"GO:0009057","macromolecule catabolic process","BP",1025,329,218,1.29051254452227e-07,3.3813550741058e-06
"GO:0042327","positive regulation of phosphorylation","BP",591,204,118,1.29459595297193e-07,0.00558457139884654
"GO:0045785","positive regulation of cell adhesion","BP",323,123,68,1.36160914757133e-07,0.00961947030119562
"GO:0071495","cellular response to endogenous stimulus","BP",979,304,217,9.01726014521131e-06,1.53411417178386e-07
"GO:0120035","regulation of plasma membrane bounded cell projection organization","BP",488,173,103,1.60289143576288e-07,0.00162010123111568
"GO:0018205","peptidyl-lysine modification","BP",311,119,78,1.60336897106213e-07,2.31798538276341e-05
"GO:0030334","regulation of cell migration","BP",682,230,136,1.74092298985841e-07,0.00324960938876377
