"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0090304","nucleic acid metabolic process","BP",3878,1522,2282,2.0822607870825e-23,3.6862028443559e-30
"GO:0010033","response to organic substance","BP",2198,851,1363,3.414386383228e-11,6.16628196289635e-30
"GO:0006796","phosphate-containing compound metabolic process","BP",2023,834,1265,1.71623904565199e-18,7.15097247814225e-30
"GO:0070727","cellular macromolecule localization","BP",1304,571,856,6.76675746612624e-19,1.10091829221288e-29
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2571,1063,1566,2.69025199978513e-24,3.62458277484272e-29
"GO:0034613","cellular protein localization","BP",1297,567,850,1.38315770960155e-18,4.03562478549382e-29
"GO:0050790","regulation of catalytic activity","BP",1758,710,1112,1.66842096936089e-13,6.79230725967718e-29
"GO:0035556","intracellular signal transduction","BP",1993,807,1243,1.30023054565552e-15,1.17674084672265e-28
"GO:0044248","cellular catabolic process","BP",1682,675,1068,3.04910418263559e-12,1.24818624139315e-28
"GO:0033554","cellular response to stress","BP",1440,592,930,5.56627384732055e-13,1.57760254024596e-28
"GO:0071702","organic substance transport","BP",1789,758,1126,2.43166040538411e-20,4.75092684832467e-28
"GO:0010468","regulation of gene expression","BP",3665,1427,2154,3.64594214683622e-20,8.52510156563938e-28
"GO:0051128","regulation of cellular component organization","BP",1754,774,1105,8.52702485602845e-27,9.77394365509206e-28
"GO:0018130","heterocycle biosynthetic process","BP",2911,1155,1744,4.73570281182796e-19,1.64901890429284e-27
"GO:1901362","organic cyclic compound biosynthetic process","BP",3023,1199,1805,9.14915837450575e-20,1.65618275024292e-27
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",2926,1170,1752,1.18098436085797e-20,1.78382999661267e-27
"GO:0071705","nitrogen compound transport","BP",1500,640,960,5.29836595770071e-18,2.04419325318244e-27
"GO:0009653","anatomical structure morphogenesis","BP",1966,820,1222,9.04658923500652e-20,2.6660923199308e-27
"GO:0019438","aromatic compound biosynthetic process","BP",2921,1158,1748,5.78572345477462e-19,3.11916842987193e-27
"GO:0051173","positive regulation of nitrogen compound metabolic process","BP",2294,956,1401,5.19702122298943e-23,1.27870236534331e-26
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",2856,1133,1709,1.21922298248529e-18,1.48146383640577e-26
"GO:0031325","positive regulation of cellular metabolic process","BP",2431,1004,1476,1.10316593895014e-22,1.64693631620473e-26
"GO:0051649","establishment of localization in cell","BP",1577,685,1000,1.53843327265605e-21,1.73680882179578e-26
"GO:0051246","regulation of protein metabolic process","BP",1925,774,1195,3.57293780208076e-14,2.26202451005182e-26
"GO:0007399","nervous system development","BP",1804,740,1127,8.03178141874198e-16,2.6856052639591e-26
"GO:0010556","regulation of macromolecule biosynthetic process","BP",2862,1125,1710,4.80830601856418e-17,3.96518359423408e-26
"GO:0009889","regulation of biosynthetic process","BP",3011,1179,1791,2.78090287254325e-17,4.05975242762028e-26
"GO:0023051","regulation of signaling","BP",2486,1013,1504,1.13303893843163e-20,4.63728038786741e-26
"GO:0048869","cellular developmental process","BP",3067,1199,1820,2.48161977669356e-17,7.30049754041987e-26
"GO:0010646","regulation of cell communication","BP",2475,1011,1496,5.00786665004371e-21,1.13527670225073e-25
"GO:1901575","organic substance catabolic process","BP",1580,609,998,6.46445702810753e-08,1.39846888035032e-25
"GO:0051252","regulation of RNA metabolic process","BP",2703,1083,1620,2.38196416123371e-19,1.64496382558448e-25
"GO:0045184","establishment of protein localization","BP",1264,547,818,6.81566700663416e-17,1.70218816141304e-25
"GO:0042221","response to chemical","BP",3075,1169,1822,9.29121541128546e-13,1.92541940621838e-25
"GO:0031326","regulation of cellular biosynthetic process","BP",2972,1166,1765,2.16211750558072e-17,3.06837401442602e-25
"GO:0030154","cell differentiation","BP",3048,1192,1805,2.78138055973162e-17,5.09752336968433e-25
"GO:0016070","RNA metabolic process","BP",3451,1347,2022,2.2810041309622e-19,6.60980448853674e-25
"GO:0015031","protein transport","BP",1173,507,763,1.34676983233071e-15,9.61345981888908e-25
"GO:0043933","protein-containing complex organization","BP",1294,554,829,5.29876067260548e-16,7.07858512101599e-24
"GO:0070887","cellular response to chemical stimulus","BP",2207,869,1338,2.573178335803e-13,1.46624669204568e-23
"GO:0032879","regulation of localization","BP",2020,841,1233,5.024812441571e-20,3.39427618885142e-23
"GO:0006351","transcription, DNA-templated","BP",2558,1002,1528,1.1885956169622e-14,4.15111513593969e-23
"GO:0097659","nucleic acid-templated transcription","BP",2560,1002,1528,1.51181911602226e-14,6.58500229339136e-23
"GO:0009966","regulation of signal transduction","BP",2208,903,1335,7.05342932474428e-19,7.34223618216787e-23
"GO:0007049","cell cycle","BP",1342,590,852,5.6504959146923e-20,8.45873538870099e-23
"GO:0032774","RNA biosynthetic process","BP",2576,1009,1535,9.50532742174184e-15,1.35701307213245e-22
"GO:0032268","regulation of cellular protein metabolic process","BP",1794,722,1104,2.37968657006138e-13,1.98152987883219e-22
"GO:0051172","negative regulation of nitrogen compound metabolic process","BP",1791,711,1102,8.94442039953593e-12,2.33095549474621e-22
"GO:0031324","negative regulation of cellular metabolic process","BP",1891,753,1157,9.35654656799036e-13,2.98094306490769e-22
"GO:0071310","cellular response to organic substance","BP",1739,692,1070,1.04802998773375e-11,1.05025045331226e-21
"GO:0046907","intracellular transport","BP",1178,525,753,2.85208776328641e-19,2.40229737688681e-21
"GO:0006508","proteolysis","BP",1282,490,812,4.03880100993439e-06,2.4880343301114e-21
"GO:0006355","regulation of transcription, DNA-templated","BP",2468,975,1469,2.22258132050463e-15,2.6295667514875e-21
"GO:1903506","regulation of nucleic acid-templated transcription","BP",2469,975,1469,2.52103140146322e-15,3.29058521184646e-21
"GO:2001141","regulation of RNA biosynthetic process","BP",2477,977,1473,3.38561800546259e-15,3.81151994268137e-21
"GO:0007010","cytoskeleton organization","BP",1113,495,715,5.33995170294902e-18,4.1374302907018e-21
"GO:0007166","cell surface receptor signaling pathway","BP",1979,830,1192,8.36510529025454e-21,1.42199661428662e-19
"GO:0050793","regulation of developmental process","BP",1765,699,1079,2.33304680251729e-11,1.42237443933746e-20
"GO:0016310","phosphorylation","BP",1373,550,860,5.37890129666014e-10,1.55182111759469e-20
"GO:0065003","protein-containing complex assembly","BP",1140,487,728,5.63927988587451e-14,1.69240065884528e-20
"GO:0009891","positive regulation of biosynthetic process","BP",1454,603,904,4.73096187053385e-14,3.3355865986307e-20
"GO:0051239","regulation of multicellular organismal process","BP",1961,759,1185,5.08833541565388e-10,3.98564433672357e-20
"GO:0009892","negative regulation of metabolic process","BP",2365,908,1405,5.50504816481852e-11,6.57003929590139e-20
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP",1354,564,846,1.34342334646341e-13,8.873399774123e-20
"GO:0031328","positive regulation of cellular biosynthetic process","BP",1431,595,889,3.97912655607382e-14,9.80678395079654e-20
"GO:0016192","vesicle-mediated transport","BP",1151,500,731,7.26121234245716e-16,1.08516748115502e-19
"GO:0048468","cell development","BP",1555,638,958,9.87543701216021e-14,1.11638908101327e-19
"GO:0009057","macromolecule catabolic process","BP",1025,404,659,9.09714647628011e-07,1.23216139818701e-19
"GO:0033043","regulation of organelle organization","BP",867,386,567,2.51042336541434e-14,2.55569659287943e-19
"GO:0009894","regulation of catabolic process","BP",766,342,508,5.07382505927897e-13,3.28524348098951e-19
"GO:0022008","neurogenesis","BP",1227,503,771,6.03514897252326e-11,5.63804412558478e-19
"GO:0031399","regulation of protein modification process","BP",1143,457,723,2.26083536089151e-08,7.48795311619695e-19
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","BP",1447,624,885,8.75263062890187e-19,5.25474087850192e-17
"GO:1901566","organonitrogen compound biosynthetic process","BP",1293,540,807,2.73789061905352e-13,1.03440807150402e-18
"GO:0044093","positive regulation of molecular function","BP",1166,470,735,4.06656129488582e-09,1.30378386804703e-18
"GO:0048584","positive regulation of response to stimulus","BP",1570,653,961,1.78024889610968e-15,1.43945042389033e-18
"GO:0006468","protein phosphorylation","BP",1174,480,739,2.67696915740605e-10,1.72708680775128e-18
"GO:0018193","peptidyl-amino acid modification","BP",983,416,630,2.10400709758536e-11,2.35862404782981e-18
"GO:0030030","cell projection organization","BP",1180,508,741,2.980993228486e-15,3.62820125057922e-18
"GO:0010605","negative regulation of macromolecule metabolic process","BP",2210,848,1310,3.10506335007482e-10,4.52390150701251e-18
"GO:1901565","organonitrogen compound catabolic process","BP",1019,397,649,4.33274543127532e-06,5.66358959703291e-18
"GO:0044265","cellular macromolecule catabolic process","BP",879,345,568,8.7933430822712e-06,1.02255175731956e-17
"GO:0120036","plasma membrane bounded cell projection organization","BP",1146,494,719,5.66946017770018e-15,1.62432769978513e-17
"GO:0051240","positive regulation of multicellular organismal process","BP",1042,424,660,6.31396397484531e-09,1.80231629876997e-17
"GO:0008219","cell death","BP",1551,648,944,7.58321996699965e-16,2.85050190762333e-17
"GO:0006886","intracellular protein transport","BP",653,275,435,9.63819049409037e-08,4.04722375094661e-17
"GO:0010647","positive regulation of cell communication","BP",1236,537,760,5.36144691422981e-17,1.8626326291108e-15
"GO:0023056","positive regulation of signaling","BP",1239,538,762,5.70787805600074e-17,1.5941864920433e-15
"GO:0051254","positive regulation of RNA metabolic process","BP",1296,559,800,6.6399433810502e-17,8.09322227183773e-17
"GO:0051049","regulation of transport","BP",1254,520,776,3.17590019043078e-12,1.04643039233256e-16
"GO:0030163","protein catabolic process","BP",744,291,486,5.86024779762928e-05,1.42650107244732e-16
"GO:1903508","positive regulation of nucleic acid-templated transcription","BP",1186,505,737,3.64786970197937e-14,1.64905578339785e-16
"GO:0045893","positive regulation of transcription, DNA-templated","BP",1186,505,737,3.64786970197937e-14,1.64905578339785e-16
"GO:1902680","positive regulation of RNA biosynthetic process","BP",1192,506,740,6.44988866001474e-14,1.97955712747755e-16
"GO:0080134","regulation of response to stress","BP",990,395,626,2.73622994092622e-07,2.1658658687223e-16
"GO:0022402","cell cycle process","BP",915,408,583,3.28310396002122e-15,2.70032688130212e-16
"GO:0051276","chromosome organization","BP",809,342,522,1.57753985961169e-09,3.44902117898358e-16
"GO:0009967","positive regulation of signal transduction","BP",1111,486,682,4.30659094431429e-16,9.41659039526765e-14
"GO:0000902","cell morphogenesis","BP",766,336,496,1.22693753843488e-11,7.57961590821626e-16
"GO:0048699","generation of neurons","BP",1074,447,670,6.3875918807518e-11,1.32116635900126e-15
"GO:1901700","response to oxygen-containing compound","BP",1185,445,732,7.77034497884779e-05,1.48404991509143e-15
"GO:0031329","regulation of cellular catabolic process","BP",659,296,433,8.41814602723727e-12,1.61548098044412e-15
"GO:1902531","regulation of intracellular signal transduction","BP",1284,527,787,1.61539413958439e-11,1.64446056199255e-15
"GO:0012501","programmed cell death","BP",1436,598,871,2.4002846580114e-14,1.89468264004919e-15
"GO:0009719","response to endogenous stimulus","BP",1147,443,710,3.48823739390828e-06,2.13364084522073e-15
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process","BP",1131,453,701,2.0222664760829e-08,2.17618414172511e-15
"GO:0051247","positive regulation of protein metabolic process","BP",1124,456,697,2.6187768111451e-09,2.26180946063935e-15
"GO:0044257","cellular protein catabolic process","BP",624,241,412,0.00057432475704389,2.49540521822016e-15
"GO:0006915","apoptotic process","BP",1396,581,848,6.66274525259015e-14,2.78687638209113e-15
"GO:0043632","modification-dependent macromolecule catabolic process","BP",502,193,340,0.00243270832072615,3.46020892998922e-15
"GO:0051726","regulation of cell cycle","BP",799,346,512,4.1591404077128e-11,4.30629628663607e-15
"GO:0033365","protein localization to organelle","BP",682,287,444,5.50507175414524e-08,7.03140161595076e-15
"GO:0044281","small molecule metabolic process","BP",1310,534,798,4.26336983070375e-11,7.9977126776102e-15
"GO:0030029","actin filament-based process","BP",598,265,395,5.56390841330198e-10,8.61872019646569e-15
"GO:0051130","positive regulation of cellular component organization","BP",802,363,508,8.89595369654594e-15,1.08037152255697e-13
"GO:0070647","protein modification by small protein conjugation or removal","BP",782,302,501,0.00012517638477453,9.0683481305773e-15
"GO:1901698","response to nitrogen compound","BP",814,306,519,0.00091260146403068,1.05467791260677e-14
"GO:0042592","homeostatic process","BP",1308,496,796,9.47030442065787e-06,1.19430630841128e-14
"GO:0051603","proteolysis involved in cellular protein catabolic process","BP",575,218,381,0.00293572248244025,1.2844662045133e-14
"GO:0071495","cellular response to endogenous stimulus","BP",979,388,612,7.85931640318801e-07,1.35405702291502e-14
"GO:0016032","viral process","BP",325,172,212,1.37695036913775e-14,6.38498428548807e-08
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","BP",312,125,224,0.00266473480980578,1.53232979664144e-14
"GO:0030182","neuron differentiation","BP",1026,430,638,4.8491126529333e-11,1.68615946880369e-14
"GO:0034645","cellular macromolecule biosynthetic process","BP",883,362,557,3.2710120009814e-08,2.04454133822307e-14
"GO:0006511","ubiquitin-dependent protein catabolic process","BP",486,185,328,0.00478073607432232,2.24634820135771e-14
"GO:0019941","modification-dependent protein catabolic process","BP",493,188,332,0.00411063549542095,2.46298881125174e-14
"GO:0006366","transcription by RNA polymerase II","BP",1888,721,1112,2.03993913744481e-08,2.85979982452699e-14
"GO:0007417","central nervous system development","BP",770,315,492,3.26356482167442e-07,3.12118150501574e-14
"GO:0009605","response to external stimulus","BP",1943,763,1141,1.79471925896262e-11,3.9505729333261e-14
"GO:0002376","immune system process","BP",1911,739,1123,1.0707589466936e-09,4.97220358568334e-14
"GO:0010243","response to organonitrogen compound","BP",753,282,481,0.00181949818148247,6.55197667942252e-14
"GO:0032446","protein modification by small protein conjugation","BP",671,260,434,0.000282678276101412,6.67510668141224e-14
"GO:0070925","organelle assembly","BP",705,317,453,1.28208249976207e-12,9.04915637601849e-14
"GO:0006629","lipid metabolic process","BP",1018,403,630,5.51026894452437e-07,9.59975568270487e-14
"GO:0051253","negative regulation of RNA metabolic process","BP",1033,414,638,7.77883687797428e-08,1.16379196775022e-13
"GO:0007155","cell adhesion","BP",1112,475,672,1.19958679856283e-13,1.05896724992053e-11
"GO:0048666","neuron development","BP",845,362,532,7.44664865280827e-11,1.32261455764213e-13
"GO:0032270","positive regulation of cellular protein metabolic process","BP",1057,426,651,2.29670042964212e-08,1.42040889365998e-13
"GO:0048585","negative regulation of response to stimulus","BP",1217,487,740,6.6583224199862e-09,1.43023790312822e-13
"GO:0043085","positive regulation of catalytic activity","BP",876,350,549,1.13210119018536e-06,1.73666909506963e-13
"GO:0010498","proteasomal protein catabolic process","BP",373,144,258,0.00673038913980255,1.9717085877918e-13
"GO:0000278","mitotic cell cycle","BP",684,295,439,1.93612395393821e-09,2.87313973952486e-13
"GO:0032880","regulation of protein localization","BP",626,289,399,2.99446010185357e-13,1.4605984515451e-11
"GO:0009628","response to abiotic stimulus","BP",808,333,509,6.28589249418428e-08,3.95847374424467e-13
"GO:0010558","negative regulation of macromolecule biosynthetic process","BP",1142,452,696,1.13360726069005e-07,4.17266093064763e-13
"GO:0006357","regulation of transcription by RNA polymerase II","BP",1826,704,1071,5.07942168783421e-09,4.18391907416724e-13
"GO:0031175","neuron projection development","BP",736,313,468,3.75429437550408e-09,4.24206797746729e-13
"GO:0007017","microtubule-based process","BP",701,301,448,2.30287325465769e-09,4.3510748640755e-13
"GO:0019220","regulation of phosphate metabolic process","BP",1011,399,622,9.10681916126329e-07,6.83424875891869e-13
"GO:0051174","regulation of phosphorus metabolic process","BP",1013,400,623,8.2799261321353e-07,7.22066889151103e-13
"GO:0046903","secretion","BP",659,248,423,0.0024885814558128,7.68429644200439e-13
"GO:0030036","actin cytoskeleton organization","BP",536,237,352,5.74749208673078e-09,8.25197146716097e-13
"GO:0016567","protein ubiquitination","BP",625,246,403,0.000134461459356876,1.03588745240818e-12
"GO:0032989","cellular component morphogenesis","BP",596,259,386,8.19800859637355e-09,1.26221591572523e-12
"GO:0042325","regulation of phosphorylation","BP",910,357,564,6.45761253777082e-06,1.3968923597601e-12
"GO:0009890","negative regulation of biosynthetic process","BP",1212,478,732,8.06203246545826e-08,1.39893923108938e-12
"GO:0051094","positive regulation of developmental process","BP",935,383,578,1.44651744355227e-08,1.40369614180543e-12
"GO:0051129","negative regulation of cellular component organization","BP",536,228,351,4.80825783097625e-07,1.56848117900468e-12
"GO:0034330","cell junction organization","BP",537,251,339,2.21923950236822e-12,2.4928579420791e-09
"GO:0006914","autophagy","BP",419,173,282,7.93836628291506e-05,2.46000346615238e-12
"GO:0061919","process utilizing autophagic mechanism","BP",419,173,282,7.93836628291506e-05,2.46000346615238e-12
"GO:0044087","regulation of cellular component biogenesis","BP",733,318,463,2.03217383091877e-10,2.58514636995475e-12
"GO:0001932","regulation of protein phosphorylation","BP",806,318,504,1.20105414342859e-05,2.9951277534809e-12
"GO:0019637","organophosphate metabolic process","BP",686,281,436,1.23602284528666e-06,3.03532686046902e-12
"GO:0009725","response to hormone","BP",623,242,400,0.000381502715054647,3.08566385444578e-12
"GO:0009968","negative regulation of signal transduction","BP",944,389,581,4.86685921442743e-09,3.71145624077499e-12
"GO:0016071","mRNA metabolic process","BP",556,252,361,1.02078976238872e-10,4.16439237353955e-12
"GO:0032870","cellular response to hormone stimulus","BP",446,184,297,5.05883231749324e-05,4.48798469041127e-12
"GO:0006259","DNA metabolic process","BP",772,323,484,1.64493424491254e-08,4.55907756726152e-12
"GO:0010648","negative regulation of cell communication","BP",1012,416,618,2.00927959239344e-09,5.62453228306035e-12
"GO:0010941","regulation of cell death","BP",1195,497,714,5.7682946581842e-12,4.93601340610170e-11
"GO:0043603","cellular amide metabolic process","BP",894,382,552,3.27736409931299e-11,6.09449231750063e-12
"GO:0031327","negative regulation of cellular biosynthetic process","BP",1193,470,718,1.21199159397476e-07,6.1651128491708e-12
"GO:1901701","cellular response to oxygen-containing compound","BP",846,329,525,3.37675466013394e-05,6.37891234763248e-12
"GO:0045944","positive regulation of transcription by RNA polymerase II","BP",874,365,540,2.43957000981957e-09,8.9661166203886e-12
"GO:0060322","head development","BP",607,249,389,4.33751942538605e-06,8.97783689323451e-12
"GO:0023057","negative regulation of signaling","BP",1016,417,619,2.41430910311743e-09,9.74720653688489e-12
"GO:0051050","positive regulation of transport","BP",657,282,417,7.73896244709482e-09,1.20793616821795e-11
"GO:0016570","histone modification","BP",406,186,272,1.05993347467274e-08,1.30808194394854e-11
"GO:0000904","cell morphogenesis involved in differentiation","BP",548,252,354,1.67157362393754e-11,1.77828790668002e-11
"GO:0045892","negative regulation of transcription, DNA-templated","BP",943,374,577,1.14743039564954e-06,1.83644313035239e-11
"GO:0000226","microtubule cytoskeleton organization","BP",491,223,321,9.71327840164059e-10,1.90823491063406e-11
"GO:0007420","brain development","BP",573,238,368,2.40508437205452e-06,2.18474333040503e-11
"GO:0006928","movement of cell or subcellular component","BP",1557,616,913,5.03898301942629e-10,3.00769366954282e-11
"GO:1903507","negative regulation of nucleic acid-templated transcription","BP",945,374,577,1.46211244049449e-06,3.043894708468e-11
"GO:1902679","negative regulation of RNA biosynthetic process","BP",947,375,578,1.32829536474323e-06,3.201988258129e-11
"GO:0034976","response to endoplasmic reticulum stress","BP",194,69,143,0.197039188536824,3.75914831285759e-11
"GO:0019058","viral life cycle","BP",245,129,158,4.23285743998184e-11,7.74050034190133e-06
"GO:0080135","regulation of cellular response to stress","BP",521,208,337,0.000171419946477545,4.30074283077019e-11
"GO:0051336","regulation of hydrolase activity","BP",739,306,461,1.28161673352284e-07,4.31611658428183e-11
"GO:0060341","regulation of cellular localization","BP",598,264,381,9.42641393165118e-10,4.56981260848834e-11
"GO:0044255","cellular lipid metabolic process","BP",757,311,470,2.43622650668258e-07,7.56774834958792e-11
"GO:0006974","cellular response to DNA damage stimulus","BP",642,272,405,5.96183120946137e-08,7.98858493261904e-11
"GO:0022603","regulation of anatomical structure morphogenesis","BP",688,270,431,8.20737718633687e-05,8.11382409406981e-11
"GO:0097190","apoptotic signaling pathway","BP",471,212,307,6.28778512652057e-09,8.77228509494475e-11
"GO:1903047","mitotic cell cycle process","BP",574,254,366,1.49794259859464e-09,9.53408551996653e-11
"GO:0009888","tissue development","BP",1326,532,784,8.07219493689846e-10,9.64882613504902e-11
"GO:0007267","cell-cell signaling","BP",1135,453,679,3.37216399284255e-08,1.10967984202762e-10
"GO:0072359","circulatory system development","BP",816,326,502,2.65888646363347e-06,1.25720417466681e-10
"GO:0010564","regulation of cell cycle process","BP",512,231,330,1.02186670312076e-09,1.28027907061426e-10
"GO:1902532","negative regulation of intracellular signal transduction","BP",407,171,269,2.85350562636779e-05,1.51686796073286e-10
"GO:0032990","cell part morphogenesis","BP",523,226,336,1.24881509693968e-07,1.53714417842726e-10
"GO:0006325","chromatin organization","BP",464,199,302,1.29611610172408e-06,1.5881363718935e-10
"GO:0044419","biological process involved in interspecies interaction between organisms","BP",1159,466,691,7.00567125399882e-09,1.77371377723268e-10
"GO:0097435","supramolecular fiber organization","BP",592,249,375,4.35623104358995e-07,1.90704249343058e-10
